facility_id,name,mineral_type,category,latitude,longitude,state,district,lease_area_ha,owner,ownership_type,mining_method,mineral_class,source,location_precision
30ORI08013,Bolani,Iron Ore,mining,22.123236569719108,85.32278834085285,ODISHA,KENDUJHAR,1321.45,M/s SAIL,0,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03178,KAMMATHERUVU(DEOGIRI),Iron Ore,mining,15.01582624053337,76.6079229991302,KARNATAKA,Bellary,10.0376160908,"Mr K.N.Srinivasa,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
37KAR15019,Kagal,Lime Shell,mining,14.483210757302805,74.38225175060666,KARNATAKA,Uttara Kannada,2.77109945799,Jogi VNayak,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR19026,SONDEVANAHALLI ML 2175,Iron Ore,mining,13.361914660665173,76.70032195466412,KARNATAKA,Tumkur,64.9165575562,"M/s TUMKUR MINERALS (P) LIMITED,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26012,Hebbal,Limestone,mining,16.188424399416654,75.33140627855005,KARNATAKA,Bagalkot,1.47984167419,IS.Sarwan,Private,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03065,SANKALAPURAM(188 AC),Iron Ore,mining,15.237292768926476,76.41955913292244,KARNATAKA,Bellary,75.9506928077,Mr AJAY SARAF,Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
62KAR14001,Mundur Vermiculite Mine,Vermiculite,mining,12.616553150060978,76.25438405217056,KARNATAKA,Mysore,4.83655486602,"M/s DUGAR INSULATIONS INDIA PRIVATE LIMITED,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03028,JAMBUNATHANAHALLI,Iron Ore,mining,15.236910959578504,76.41249819868706,KARNATAKA,Bellary,51.1860264094,"M/s Mysore Minerals Ltd,",SPSU,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03123,SANJEEVARAYANAKOTE,Iron Ore,mining,15.045312192220495,76.9272036489352,KARNATAKA,Bellary,43.155037116,"ALLUM PRASHANT,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
40KAR19020,BALAGUDDA ML 2512(KONDLI),Manganese Ore,mining,13.381727554713885,76.73907973132751,KARNATAKA,Tumkur,36.7207660277,"MS.R. Gupta,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
40KAR19028,DOREGUDDA  ML 2601/1266,Manganese Ore,mining,13.368988252321612,76.76328560197915,KARNATAKA,Tumkur,128.748949556,"M DASARATHARAMI REDDY, GPA HOLDER OF MChennakeshava Reddy",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
38KAR26016,Ankalgi,Limestone,mining,16.221311038495056,75.4829807222686,KARNATAKA,Bagalkot,57.0358491558,Mysore Minerals Ltd,SPSU,Opencast,Non-Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03035,KARADIKOLLA SURESH,Iron Ore,mining,15.229170187120548,76.43238032728127,KARNATAKA,Bellary,42.3518756891,"M/s PBALASUBBASHETTY & SONS,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
30KAR03113,DONIMALAI IRON ORE,Iron Ore,mining,15.086799816874636,76.60232512009696,KARNATAKA,Bellary,53.3123585945,"NADEEM MINERALS,",Private,Opencast,Metallic,NGDR_MajorLease2022,centroid_from_NGDR_lease_polygon
