name,category,mineral_type,latitude,longitude,status,capacity,owner,source,location_precision,source_url_or_reference
KK Kaval Hosadurga Mine,mining,iron_ore,13.666852,76.493409,operating,30,Garudadhri Impex Pvt Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KK_Kaval_Hosadurga_Mine
KLCI Karekurchi Mine,mining,iron_ore,13.340099,76.714971,operating,45,Karnataka Limpo Cement Industry [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KLCI_Karekurchi_Mine
KMC Jururi Mine,mining,iron_ore,21.955176,85.411341,operating,2150,Kalinga Mining Corporation [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KMC_Jururi_Mine
KMSCL Jambunathanahalli Mine,mining,iron_ore,15.229724,76.426249,operating,195,Karnataka State Minerals Corp Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KMSCL_Jambunathanahalli_Mine
KN Ram Roida Mine,mining,iron_ore,22.036198,85.369641,operating,3500,KN Ram & Co [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KN_Ram_Roida_Mine
Korp Resources Tantra Mine,mining,iron_ore,21.880277,85.179034,operating,120,Korp Resources Pvt. Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Korp_Resources_Tantra_Mine
KSMCL Subbarayanahalli Mine,mining,iron_ore,15.019342,76.557254,operating,1340,Karnataka State Minerals Corp Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KSMCL_Subbarayanahalli_Mine
KSMCL Thimmappanagudi Mine,mining,iron_ore,15.137679,76.529028,operating,650,Karnataka State Minerals Corp Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/KSMCL_Thimmappanagudi_Mine
Lakshmi Enterprises Gandrai Mine,mining,iron_ore,16.961078,80.099978,operating,2,Lakshmi Enterprises [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Lakshmi_Enterprises_Gandrai_Mine
Lakshmi Minerals Jaisinghpur Mine,mining,iron_ore,15.177092,76.436061,operating,90,Lakshmi Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Lakshmi_Minerals_Jaisinghpur_Mine
Lakshmi Minerals Venkatgiri Mine,mining,iron_ore,15.192646,76.410324,operating,99,Lakshmi Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Lakshmi_Minerals_Venkatgiri_Mine
LMEL Surjagarh Mine,mining,iron_ore,19.625395,80.365504,operating,10000,Lloyds Metals and Energy Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/LMEL_Surjagarh_Mine
LMPL Badpatuli Mine,mining,iron_ore,21.857179,85.308068,operating,480,Lavanyabati Minerals Pvt Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/LMPL_Badpatuli_Mine
M Hanumantha Rao Narayanpur Mine,mining,iron_ore,14.991247,76.677076,operating,226,M Hanumantha Rao [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/M_Hanumantha_Rao_Narayanpur_Mine
M Srinivasulu KK Kaval Mine,mining,iron_ore,13.718106,76.440617,operating,540,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/M_Srinivasulu_KK_Kaval_Mine
Madhup Joshi Bagawas Mine,mining,iron_ore,27.411617,76.050091,operating,76,natural person(s) [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Madhup_Joshi_Bagawas_Mine
MESCO Malangtoli Mine,mining,iron_ore,21.781197,85.320744,operating,3500,MESCO Steel Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/MESCO_Malangtoli_Mine
MGM Patabeda Mine,mining,iron_ore,21.937676,85.371905,operating,1350,MGM Minerals Ltd [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MGM_Patabeda_Mine
MISL Roida Mine,mining,iron_ore,22.033585,85.361228,operating,6000,Mideast Integrated Steels Limited  [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MISL_Roida_Mine
Mivan Steels Hahaladdi Mine,mining,iron_ore,20.224586,80.893838,operating,150,Mivan Steels Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Mivan_Steels_Hahaladdi_Mine
MM Kalane Mine,mining,iron_ore,15.768197,73.925961,operating,700,Minerals & Metals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MM_Kalane_Mine
MM Redi Mine,mining,iron_ore,15.745002,73.680335,operating,100,Minerals & Metals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MM_Redi_Mine
MM Talwane Mine,mining,iron_ore,15.768171,73.755119,operating,200,Minerals & Metals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MM_Talwane_Mine
MSMCL Khursipar Mine,mining,iron_ore,21.380701,80.292516,operating,36,Maharashtra State Mining Corporation [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSMCL_Khursipar_Mine
MSPL Jaisingpur Mine,mining,iron_ore,15.182806,76.478378,operating,120,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Jaisingpur_Mine
MSPL Karadikolla Mine,mining,iron_ore,15.174948,76.487265,operating,510,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Karadikolla_Mine
MSPL Narasimha Mine,mining,iron_ore,15.044951,76.531734,operating,770,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Narasimha_Mine
MSPL Ramdev Mine,mining,iron_ore,15.172937,76.430938,operating,230,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Ramdev_Mine
MSPL Swamimalai Mine,mining,iron_ore,15.014823,76.560268,operating,320,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Swamimalai_Mine
MSPL Vyasanakere Mine,mining,iron_ore,15.210529,76.392217,operating,1800,MSPL Limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/MSPL_Vyasanakere_Mine
Nadeem Minerals Donimalai Mine,mining,iron_ore,15.087332,76.601106,operating,410,Nadeem Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Nadeem_Minerals_Donimalai_Mine
Nandlal Agrawal Morija Mine,mining,iron_ore,27.165095,75.769256,operating,90,Nandlal Agrawal & Sons [100%],GEM_Global_Iron_Ore_Mines_Tracker,approximate,https://www.gem.wiki/Nandlal_Agrawal_Morija_Mine
Nathurmal Harvalem Mine,mining,iron_ore,15.54823,74.030598,operating,74,Nathurmal Mining & Minerals [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Nathurmal_Harvalem_Mine
National Enterprises Adaghat Mine,mining,iron_ore,21.926449,85.315777,operating,700,National Enterprises [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/National_Enterprises_Adaghat_Mine
National Enterprises Raikela Mine,mining,iron_ore,21.881455,85.186529,operating,1000,National Enterprises [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/National_Enterprises_Raikela_Mine
Nilkanth Concast Bhagoli Mine,mining,iron_ore,27.757783,75.695179,operating,130,Nilkanth Concast Pvt. Ltd. [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/Nilkanth_Concast_Bhagoli_Mine
NINL Koira Mine,mining,iron_ore,21.853172,85.337922,operating,2500,Neelachal Ispat Nigam limited [100%],GEM_Global_Iron_Ore_Mines_Tracker,exact,https://www.gem.wiki/NINL_Koira_Mine
